OffsetMethod,ProjectLocation,VerificationStatus,TechnologyUsed,EmissionReduction,ProjectSize,CarbonCreditPrice
Energy Efficiency,China,Rejected,Wind,6110.186829315665,792.96535545924,63.48058770117073
Renewable Energy,USA,Verified,Wind,6349.944775610688,69.97686040828512,79.44949248213629
Renewable Energy,Brazil,Verified,Hydro,5957.801906832623,474.7807659559766,76.53681719372288
Reforestation,India,Pending,Wind,7056.074353546612,561.117616644011,69.89154793417316
Renewable Energy,USA,Verified,Solar,2450.591336910582,628.7980301579724,66.54093698613264
Renewable Energy,Brazil,Rejected,Hydro,5172.401397703327,688.9429976785677,59.75143696530232
Renewable Energy,India,Verified,Biomass,1131.825547802642,254.01911113919238,48.199318850405135
Reforestation,USA,Pending,Hydro,3906.6621436836444,10.968797881790923,52.64299869723613
Renewable Energy,USA,Pending,Solar,4927.903979350518,723.7202186925571,74.87672208367816
Energy Efficiency,China,Pending,Hydro,6557.020169500178,536.120942748231,72.1463102749832
Reforestation,India,Pending,Hydro,9510.257420603415,836.2815855040415,83.9141029580575
Energy Efficiency,India,Pending,Solar,6046.445558828723,821.5669745377936,71.44789753952155
Reforestation,Brazil,Verified,Hydro,7461.579770147942,843.4828416200953,79.74272726694066
Renewable Energy,China,Verified,Solar,5112.033989002507,485.6095653195606,76.41626559820814
Energy Efficiency,China,Verified,Solar,6377.62991062568,334.2947674410288,76.2310972275387
Reforestation,China,Verified,Biomass,802.2289397243569,791.7666443887787,46.92881114250957
Afforestation,China,Pending,Wind,2618.4766503342853,451.84281891622567,47.610811440833686
Renewable Energy,India,Rejected,Wind,3682.345622730873,184.25875420703107,47.25431565572468
Reforestation,India,Verified,Hydro,4777.684214564484,855.1190455419129,65.43961152824156
Afforestation,USA,Rejected,Hydro,551.922580473599,882.6773168955749,32.586386071323744
Reforestation,USA,Verified,Biomass,1486.238565777845,466.84344638402996,49.09962729272952
Afforestation,China,Verified,Biomass,2840.4616471339273,76.62402758247768,47.96854851149441
Renewable Energy,China,Rejected,Biomass,9718.173639920402,388.4382638270143,80.47525083787215
Energy Efficiency,China,Pending,Solar,3380.3353703202024,803.7341218031407,60.939018069632425
Afforestation,USA,Verified,Biomass,4872.206475309617,901.8722545176824,68.37975492172491
Reforestation,Brazil,Verified,Biomass,2041.36735611009,204.26926975509824,45.24952947810144
Renewable Energy,Brazil,Verified,Hydro,6146.722703650105,67.90663841324626,73.41267990238299
Afforestation,USA,Rejected,Biomass,2878.7638336081454,877.4731026797058,43.168550194837785
Reforestation,USA,Pending,Solar,2149.2265265404253,390.0155340398964,49.64628797310109
Reforestation,USA,Rejected,Solar,5214.0690216151925,542.2192033032957,56.49253714110892
Reforestation,USA,Rejected,Hydro,154.50741168816614,968.0977462387082,33.45351452082791
Afforestation,USA,Pending,Biomass,175.87392322733075,67.49816318630863,31.55435124799974
Afforestation,USA,Rejected,Biomass,2268.781210108392,648.6696894446435,37.83060294498839
Afforestation,China,Pending,Solar,463.54148875812933,75.0313171522922,34.06802061531357
Energy Efficiency,China,Verified,Biomass,1169.4549658938447,376.09345953803387,47.60820942484956
Afforestation,China,Pending,Biomass,3454.7204284536406,804.0107306482533,53.313709448750735
Afforestation,China,Verified,Biomass,8045.598227840147,434.03876052287876,77.56837874442952
Afforestation,USA,Rejected,Wind,5763.281569356078,997.1851715490475,60.788259562270866
Energy Efficiency,Brazil,Rejected,Hydro,5175.4104869685225,559.5002256616556,53.47205469145917
Afforestation,India,Verified,Wind,3005.539349760404,321.8409904833175,50.246106653635195
Reforestation,USA,Rejected,Hydro,9324.361822384883,220.89121457884838,71.8307212577129
Afforestation,India,Pending,Solar,4030.4489082481973,351.1700137518757,51.66394467875974
Reforestation,Brazil,Verified,Biomass,962.2183912781378,373.1607404857913,41.5426993612486
Reforestation,China,Rejected,Hydro,6208.958509566232,69.64496404623702,52.741242188293526
Reforestation,Brazil,Verified,Wind,1227.000095418354,370.2046252273464,44.837046729365234
Energy Efficiency,USA,Pending,Biomass,3517.7091137367515,464.7742812194857,57.23628838087862
Energy Efficiency,China,Pending,Solar,5123.378193306308,723.0150144865659,68.8470411113972
Energy Efficiency,USA,Rejected,Hydro,8754.80299438324,657.0727552368863,76.34474252428507
Afforestation,China,Pending,Hydro,4986.111145367175,709.0568895739251,61.02112462257512
Reforestation,India,Verified,Hydro,7052.361783713476,9.355318194980242,68.35536210051718
Energy Efficiency,India,Pending,Biomass,9928.886706090796,218.44973218095552,81.82893085226354
Energy Efficiency,India,Verified,Wind,1401.742286990018,662.0226041114566,50.62893747606466
Afforestation,Brazil,Verified,Wind,2819.8421026432434,484.50537881156737,51.94426430133189
Energy Efficiency,USA,Pending,Hydro,4006.3031484166995,6.3081621926776,56.094597364010276
Afforestation,Brazil,Rejected,Solar,4276.098967534431,804.6901477893905,48.427396315566064
Renewable Energy,India,Pending,Solar,4169.108645128903,773.036763717047,66.575910862815
Energy Efficiency,USA,Verified,Wind,9085.348925309894,548.870743830569,92.91545206485516
Renewable Energy,India,Verified,Solar,7168.923180221878,67.39686245049585,79.51858452561436
Afforestation,Brazil,Pending,Wind,6118.261619497967,766.748534483052,66.25879344232035
Reforestation,Brazil,Rejected,Hydro,3162.7899068415427,584.1298741436326,40.65524827564404
Energy Efficiency,Brazil,Rejected,Wind,8255.524803790817,782.1780171808012,72.0994041907621
Afforestation,India,Verified,Wind,9555.099063701391,751.9952454034445,87.2954477725414
Reforestation,USA,Verified,Hydro,8229.862997247243,803.1990698858793,87.181305685095
Reforestation,USA,Rejected,Solar,115.49454139558175,518.4900583382203,30.76237329036011
Renewable Energy,India,Pending,Wind,6400.37356481573,141.18419367532147,70.41370976083186
Afforestation,USA,Verified,Wind,606.2402762767972,671.486315906309,46.74606454044708
Reforestation,India,Verified,Hydro,2650.3114813038464,620.8533112669186,52.46009051918842
Energy Efficiency,USA,Rejected,Solar,689.2945334429397,742.5109340118881,38.87158200733358
Energy Efficiency,China,Pending,Wind,6077.574984198939,170.71112504468456,67.09498617144155
Renewable Energy,China,Rejected,Hydro,6897.240143576807,195.78022470038894,65.44400296488793
Reforestation,Brazil,Pending,Wind,1233.4276168524607,890.5191077021092,45.07232916128339
Afforestation,China,Pending,Biomass,3900.004942145297,750.2278206536188,55.002302917262675
Energy Efficiency,China,Pending,Hydro,4616.741438659866,908.3202602116226,66.16690979541556
Reforestation,China,Verified,Solar,3753.6249154330744,758.9566058427567,64.35769063559295
Reforestation,India,Rejected,Solar,1298.1475048034113,597.5581506843116,32.46631903086018
Renewable Energy,China,Rejected,Solar,4247.583122856006,654.4786042908457,58.78270165718849
Energy Efficiency,China,Pending,Solar,7536.662673303339,889.23879601607,82.57570132667739
Energy Efficiency,Brazil,Verified,Wind,802.9758788792291,579.2279477574286,47.80715887197043
Afforestation,China,Verified,Wind,893.7821394108441,632.758933004059,45.79650002709481
Energy Efficiency,China,Rejected,Solar,3612.2357891762435,157.320239287597,45.63438133875719
Afforestation,USA,Verified,Solar,9423.084545027357,474.4472988959866,89.85989571409665
Energy Efficiency,Brazil,Verified,Solar,6718.869202556849,716.6807148461409,79.76115316124566
Renewable Energy,Brazil,Pending,Wind,6818.832571058391,271.6717556180491,74.81088041147245
Energy Efficiency,Brazil,Verified,Solar,3683.007909294863,203.05192634401038,59.44555880991442
Afforestation,Brazil,Pending,Solar,5977.241832964531,314.51298141619117,62.031338978984564
Afforestation,Brazil,Rejected,Biomass,200.29872187465946,242.25912736484062,19.424084883021703
Renewable Energy,Brazil,Verified,Biomass,6397.350859454468,215.69772439935946,75.14373154126594
Energy Efficiency,India,Rejected,Solar,9141.540781004744,425.4259920252189,72.96196382527592
Energy Efficiency,China,Rejected,Hydro,6164.47733661371,907.9306753696505,63.90169343676505
Renewable Energy,Brazil,Verified,Solar,8749.616075316815,507.55258709197955,92.82360624750388
Energy Efficiency,China,Verified,Biomass,7267.333249114328,188.73246043450771,76.22399084991672
Energy Efficiency,China,Rejected,Hydro,1293.5283223965334,77.8946977114932,31.2465885890976
Afforestation,India,Verified,Hydro,9034.287742129833,696.4599889927873,83.13603860057704
Energy Efficiency,Brazil,Pending,Solar,757.7940591221713,383.4159656719514,41.62312995233037
Energy Efficiency,USA,Pending,Biomass,5386.277978222862,822.0091156387739,70.15148104750205
Renewable Energy,India,Verified,Biomass,1507.157525555231,659.8512578721294,54.13430020649745
Renewable Energy,USA,Rejected,Hydro,215.89544623595026,796.4452090908271,40.04392932208802
Reforestation,China,Verified,Solar,4278.139175263626,272.6740933790303,62.11743681010844
Afforestation,China,Verified,Wind,3020.903005776147,692.6665635385971,57.03118066426671
Energy Efficiency,India,Rejected,Wind,4911.40488859627,264.79792270902504,49.205003670071605
Energy Efficiency,India,Rejected,Biomass,5814.278878672053,939.1294109708413,58.46268850306868
Reforestation,USA,Pending,Wind,533.0168158585789,636.737907251841,43.0324631518113
Energy Efficiency,Brazil,Rejected,Biomass,1317.7326217250818,325.18728837516676,30.840535992377077
Afforestation,USA,Pending,Biomass,5630.559724859211,270.2423504299804,60.85522212859586
Reforestation,India,Rejected,Biomass,3497.3567964093163,191.73565848657185,36.404140566912304
Afforestation,USA,Verified,Wind,7318.817526739535,694.946317934834,80.54355081304601
Reforestation,India,Pending,Biomass,6557.6873210602025,219.49689738492938,61.98340557915031
Reforestation,USA,Pending,Hydro,8471.483193600077,595.7079626615616,81.314495594616
Renewable Energy,India,Pending,Solar,6955.6789840253305,265.370391898432,75.43209883911098
Afforestation,India,Verified,Solar,4356.317666162467,662.3069758490747,61.404658089303084
Energy Efficiency,India,Verified,Biomass,6762.369561704881,815.1247888119987,76.96309569664439
Energy Efficiency,Brazil,Verified,Solar,2826.2736251286433,778.2472179015085,60.9138403046583
Afforestation,USA,Verified,Wind,3132.5036379043054,761.0904795998509,60.273422985520035
Energy Efficiency,USA,Verified,Wind,7910.953083215853,188.5346832865598,83.44011224894487
Energy Efficiency,USA,Pending,Solar,4519.553212375664,89.29656203753419,61.49073168225367
Afforestation,India,Verified,Wind,8003.96537113169,699.2498796588982,79.01232565224743
Reforestation,USA,Pending,Solar,8241.981499315956,368.97886658055694,79.89969616238535
Afforestation,USA,Verified,Solar,8589.86714284671,432.91388017694396,85.27847451600299
Reforestation,India,Rejected,Solar,9174.688834827952,32.11794370059768,66.19462361114573
Energy Efficiency,China,Pending,Biomass,4366.7536830816325,260.31687282577417,57.4369371436659
Energy Efficiency,India,Rejected,Solar,3256.7815013792742,34.642727470589556,39.63033478160227
Energy Efficiency,USA,Pending,Biomass,5863.767591281728,879.3065868286463,73.1119038246951
Renewable Energy,India,Rejected,Solar,3774.606992032513,244.15328653531193,49.31456782551569
Reforestation,China,Verified,Solar,6050.634251322306,557.7798324034351,73.83096958064588
Renewable Energy,India,Verified,Solar,7085.300040173864,39.94034134046928,78.82590361427401
Renewable Energy,USA,Verified,Wind,6915.209683072155,667.1805439143524,88.2478538545043
Afforestation,China,Pending,Biomass,3808.0735814992013,323.70431840833976,50.2774110915794
Renewable Energy,Brazil,Rejected,Biomass,1751.915996817653,898.0212677707082,43.73979266179535
Afforestation,USA,Verified,Solar,4362.240450775855,888.2300707451018,68.6935029613303
Afforestation,China,Rejected,Solar,1511.6820264108965,325.965327743386,31.818063409488342
Renewable Energy,China,Rejected,Wind,8911.960648319702,901.0599347947774,83.57040258954629
Reforestation,Brazil,Verified,Wind,3524.186861304788,996.16151582528,62.58254946477675
Reforestation,India,Verified,Wind,1629.1514975109055,825.5902484598241,50.40165997215277
Reforestation,India,Rejected,Biomass,351.9328230669337,845.0264764074738,27.209928879409407
Reforestation,USA,Verified,Biomass,6493.641624236194,249.75972737298082,71.96580539491077
Reforestation,Brazil,Verified,Biomass,6405.332942801958,577.1256964588986,70.79792167859878
Renewable Energy,India,Verified,Solar,3471.9812491547873,68.18865805340049,61.04179282630794
Renewable Energy,Brazil,Pending,Biomass,809.9476995917449,95.82301888484804,41.0079686868072
Energy Efficiency,India,Rejected,Hydro,4155.326059462797,998.8937194212573,51.76556749152656
Reforestation,China,Rejected,Hydro,3181.0532011275964,327.312610176485,40.17839210740283
Renewable Energy,India,Pending,Wind,6803.494333376592,748.4357281367975,78.50182894825093
Energy Efficiency,Brazil,Rejected,Biomass,6097.214569581634,806.8583879737896,59.55465672764607
Reforestation,China,Verified,Hydro,3709.477909155646,858.165247736222,63.12904202314045
Afforestation,China,Rejected,Wind,2257.136287124402,997.6306691047544,41.26198812666955
Energy Efficiency,China,Verified,Biomass,9881.55606494036,242.25498877161098,89.8303302124179
Renewable Energy,Brazil,Pending,Solar,4594.6160498415375,41.31047603284001,62.38618500953609
Afforestation,USA,Verified,Hydro,6913.914934224347,411.78032647659137,74.68737793588764
Afforestation,USA,Rejected,Solar,1491.4743790257717,130.950589159118,31.766877786720038
Afforestation,USA,Rejected,Biomass,4907.338026628038,23.40346327289307,44.77072476586912
Energy Efficiency,Brazil,Rejected,Hydro,372.61352670770833,361.0664003143446,27.47373163668199
Renewable Energy,China,Pending,Biomass,5104.005667313454,783.9545128241612,71.35957346480888
Afforestation,USA,Pending,Solar,9643.772330465254,566.6145105338458,86.88500675766473
Reforestation,Brazil,Rejected,Hydro,3903.646458559422,313.4652112211437,41.65288440500855
Afforestation,USA,Verified,Solar,486.06052449162473,654.6876634872269,46.97717925733039
Afforestation,India,Pending,Biomass,406.4623301015009,232.7861621285019,29.360173271792526
Energy Efficiency,USA,Rejected,Biomass,3941.068923474008,15.36706462601294,44.85901526363017
Energy Efficiency,USA,Rejected,Solar,1684.246870985621,764.5890330499909,44.06712468542801
Renewable Energy,China,Pending,Hydro,331.1857536490405,624.1193417791451,46.897122186036654
Reforestation,Brazil,Pending,Solar,7586.514778106751,762.5403218764591,76.55797710929835
Energy Efficiency,China,Pending,Biomass,4639.377787930718,39.89907867097794,56.595879726363364
Afforestation,China,Verified,Solar,2963.5232425292797,837.2825082028215,59.19044129467461
Renewable Energy,China,Verified,Biomass,9010.823511863158,619.906673836267,94.25318429767846
Afforestation,China,Rejected,Solar,1249.7757059852036,563.8319553619275,32.88719808354529
Afforestation,China,Pending,Hydro,9563.59640665766,624.9894340664171,83.06787637395247
Energy Efficiency,USA,Verified,Hydro,3208.270502035793,864.5688136214957,65.68704064639392
Renewable Energy,China,Pending,Solar,8895.196355855944,587.3495700523481,91.3494774798032
Reforestation,China,Rejected,Solar,6069.134477146669,581.3694295082911,59.15936668081626
Reforestation,Brazil,Verified,Hydro,8284.402861440725,990.6884779087001,85.32889908629062
Energy Efficiency,India,Verified,Biomass,9841.730315783596,756.9734369014994,91.77838594793297
Energy Efficiency,USA,Verified,Hydro,2955.2138344055825,442.8515116456841,60.20458428848475
Renewable Energy,USA,Rejected,Biomass,9615.24130553517,707.6896030328948,85.1531025580048
Reforestation,USA,Pending,Solar,3955.8707595339615,389.8412412200967,58.677766209870775
Reforestation,China,Verified,Solar,3916.567856895531,229.6465870210155,59.87930515468781
Reforestation,China,Rejected,Biomass,3469.8323321196062,597.2550250108717,43.32171191070675
Afforestation,China,Pending,Solar,5459.935312741093,928.2539160158375,67.58221572386384
Reforestation,Brazil,Rejected,Biomass,1626.0359274670222,929.2103804954472,35.42228344228958
Afforestation,India,Pending,Wind,5581.74370504431,342.56337282738485,58.334352253495396
Renewable Energy,China,Rejected,Hydro,5462.87764285904,528.1497887554733,61.595886101849935
Afforestation,India,Pending,Wind,7642.827944788213,212.42426267129133,67.33838235065397
Renewable Energy,Brazil,Verified,Biomass,8353.134623182097,995.6354783893846,92.72202789980433
Reforestation,USA,Pending,Hydro,4460.369368092998,981.1367899600677,65.11321474006567
Reforestation,China,Rejected,Biomass,3093.099168579788,649.8594207777398,41.96409005067634
Renewable Energy,India,Rejected,Hydro,2667.4154834392352,804.6096456177959,47.38317387337413
Energy Efficiency,India,Pending,Hydro,2026.7759833782322,715.3850611224163,48.287730528115326
Renewable Energy,China,Verified,Hydro,670.7110637703463,593.5650608204287,53.28920592705602
Energy Efficiency,USA,Verified,Hydro,3490.234990463662,54.294648991908794,58.9941214422374
Afforestation,USA,Pending,Biomass,2775.452152094754,455.3095782101084,48.430356542574856
Afforestation,USA,Pending,Hydro,9667.532120077432,675.1115158652432,86.08877575903959
Afforestation,Brazil,Rejected,Hydro,5621.317379875435,677.854082269801,51.88512772207519
Reforestation,India,Verified,Wind,3538.0426864020246,373.7494958039612,55.42770839004973
Afforestation,India,Pending,Solar,5846.629249837591,941.7502946713726,66.65064919590168
Energy Efficiency,India,Verified,Solar,1478.0473433223856,168.18967520454422,47.07213346865737
Afforestation,Brazil,Pending,Wind,4496.033117101809,500.859086769345,55.4887564532025
Renewable Energy,India,Pending,Wind,6299.719782068532,691.193092574272,75.41052983608537
Renewable Energy,Brazil,Verified,Biomass,4940.088534745269,697.4386700859175,72.67482937458551
Reforestation,USA,Pending,Biomass,4077.61012647781,648.9903178120468,58.87795381050952
Renewable Energy,China,Pending,Biomass,9939.099050107012,276.0129252384083,90.45562450291914
Energy Efficiency,India,Rejected,Wind,8815.116145274378,157.05036211793535,67.64608434755124
Afforestation,India,Pending,Wind,6271.718985778457,636.3043864998841,64.72163879389112
Reforestation,USA,Pending,Hydro,5736.8358757046,599.7028140232983,67.68120751875598
Afforestation,China,Pending,Biomass,6244.538750263382,180.17665427895173,61.024460294106426
Afforestation,Brazil,Rejected,Biomass,2092.9898674420892,705.4340064249927,33.51928940146038
Energy Efficiency,China,Verified,Biomass,4011.863658316754,455.71681974192273,62.616486489002995
Renewable Energy,USA,Rejected,Solar,490.64937561990325,668.0928310115498,42.13417518821501
Renewable Energy,USA,Rejected,Hydro,4807.905771119584,837.5297126903805,63.414825982501725
Afforestation,China,Verified,Biomass,5475.943381180866,170.55870014834625,62.0853039073878
Reforestation,Brazil,Rejected,Biomass,2354.722387421775,20.12572312883984,29.974869168397273
Renewable Energy,Brazil,Verified,Biomass,9643.885586938586,779.323483809391,97.01266277278684
Reforestation,India,Rejected,Solar,9103.600648278696,610.0877277274633,71.6188805186681
Renewable Energy,Brazil,Verified,Solar,7249.218031013468,699.9399300524996,87.24548945559233
Reforestation,China,Pending,Wind,5380.52762477709,838.3168200136539,67.28580632402199
Energy Efficiency,USA,Rejected,Hydro,8712.69468051208,803.008123889676,77.59355464145716
Reforestation,India,Rejected,Wind,1393.4582038522828,960.9592267818958,35.57688328708038
Energy Efficiency,India,Rejected,Hydro,7926.0469633213615,536.3991437732661,65.99422625433947
Energy Efficiency,USA,Rejected,Solar,1335.7260582717981,489.00713702724545,39.568701661631444
Reforestation,Brazil,Pending,Biomass,7962.685559239114,402.48531269083935,71.83828092310397
Energy Efficiency,USA,Rejected,Wind,2830.098925688434,154.53735180136033,42.69586814645577
Afforestation,Brazil,Pending,Biomass,8783.19675208007,573.0346256491404,75.64633001689175
Energy Efficiency,USA,Pending,Wind,9446.016728871438,277.7355118016528,87.00743876237372
Renewable Energy,China,Pending,Solar,1573.0800971106448,921.3862047007625,58.07926253256085
Reforestation,Brazil,Pending,Solar,4680.488490147396,583.6076134728205,60.23851858546519
Afforestation,China,Verified,Solar,9811.775043810583,593.247340327602,90.99134862232893
Reforestation,India,Verified,Wind,4885.733616134152,355.56973621613304,61.98436544283209
